id_estacion,anio,mes,dia,AvgMedicion
41,2003,5,19,26.07625
41,2004,5,3,25.66347826
41,2005,5,9,21.72238095
41,2006,5,8,22.13333333
41,2007,4,30,20.45090909
41,2008,5,5,22.91130435
41,2009,5,11,23.2188
41,2010,5,10,23.012
41,2011,5,2,26.76545455
41,2012,5,7,23.15136364
41,2013,5,6,25.01076923
41,2014,4,28,25.96384615
41,2015,5,4,23.87666667
41,2016,5,2,17.112
43,1997,5,12,14.515625
43,1998,6,8,21.294
43,1999,5,3,12.1104
43,2000,5,15,16.75291667
43,2002,5,6,20.978
43,2003,5,5,24.21083333
43,2004,5,3,22.32782609
43,2005,5,9,19.842
43,2006,5,8,22.80136364
43,2007,4,30,22.33695652
43,2008,5,5,26.19782609
43,2009,5,11,18.4064
43,2010,5,10,21.94666667
43,2011,7,25,22.932
43,2012,5,7,20.60285714
43,2013,5,6,27.1116
43,2014,4,28,30.83285714
43,2015,5,4,15.82478261
43,2016,5,9,27.89333333
52,2000,2,14,40.37111111
52,2001,1,29,42.74296296
52,2002,2,4,33.81485714
52,2003,5,5,49.19769231
52,2004,5,3,56.29041667
52,2005,5,9,47.7755
52,2006,5,8,43.13727273
52,2007,4,30,32.26136364
52,2008,5,5,45.5628
52,2009,5,11,48.7792
52,2010,5,3,56.71909091
52,2011,5,2,33.0205
52,2012,5,7,42.454375
52,2014,5,19,51.82666667
52,2015,5,4,36.98529412
52,2016,5,2,52.07045455
57,1997,5,5,21.38882353
57,1998,6,1,27.655
57,1999,3,1,13.31545455
57,2000,2,21,21.805
57,2001,1,8,25.97782609
57,2002,2,4,23.47903226
57,2003,5,19,26.12791667
57,2004,5,3,29.21583333
57,2005,5,9,23.42421053
57,2006,5,8,25.12761905
57,2007,4,30,28.46863636
57,2008,5,5,23.35956522
57,2009,5,11,25.47727273
57,2010,5,10,28.87157895
57,2011,5,9,42.61444444
57,2012,5,7,24.46391304
57,2013,5,6,30.97961538
57,2014,4,28,36.49884615
57,2015,5,4,26.14166667
57,2016,5,2,30.5865
58,1997,5,5,23.35722222
58,1998,6,1,27.73142857
58,1999,5,3,20.02576923
58,2000,5,1,24.85576923
58,2001,6,4,30.88421053
58,2002,2,4,24.2853125
58,2003,5,5,34.2068
58,2004,5,3,34.8176
58,2005,5,9,21.83590909
58,2006,5,8,30.0385
58,2007,4,30,30.0647619
58,2008,5,5,29.48695652
58,2009,5,11,37.94714286
58,2010,5,3,22.7
58,2011,5,2,34.10285714
58,2012,5,7,25.86761905
58,2013,5,6,41.48727273
58,2014,4,28,40.75913043
58,2015,5,4,26.3024
58,2016,5,2,26.2696
66,1997,5,5,18.24411765
66,1998,5,25,24.65238095
66,1999,5,10,19.45454545
66,2000,5,8,24.18090909
66,2002,4,29,20.63892857
66,2003,5,19,29.45875
66,2004,5,3,23.08375
66,2005,5,23,19.34684211
66,2006,5,8,20.49545455
66,2007,4,30,19.92038462
66,2008,5,5,28.04571429
66,2009,5,11,26.10454545
66,2010,5,3,18.64217391
66,2011,5,9,29.08882353
66,2012,5,7,21.22227273
66,2013,5,6,30.79692308
66,2014,4,28,29.33769231
66,2015,5,4,20.05916667
66,2016,5,2,27.81869565
